3.300000000000002237e-02,1.233647541889435831e-05,2.949617131571181331e-03,1.295762170413932747e-03,1.885796871802521979e-01,1.564007339252650342e+00,-3.475221828435811622e-01
6.600000000000004474e-02,1.557295260591736927e-04,1.265032616236692366e-02,8.540932950520219169e-03,3.931246488331581745e-01,1.548391008935318558e+00,-5.809793096501411069e-01
9.900000000000007405e-02,6.991118917406127569e-04,2.909770786686650262e-02,2.582097594791814624e-02,5.974309292151586126e-01,1.526103673049309384e+00,-7.557330818581871057e-01
1.320000000000000895e-01,2.028048433512292647e-03,5.227826919668289440e-02,5.618642705453472802e-02,8.011407671435485378e-01,1.498879423959299739e+00,-8.833478722230942992e-01
1.650000000000001188e-01,4.614007402457903639e-03,8.216399407654191578e-02,1.018475200640964196e-01,1.003741834063070604e+00,1.468108498613290402e+00,-9.732365761062269360e-01
1.980000000000001481e-01,8.989401491560163396e-03,1.187078863372153653e-01,1.643320186644630920e-01,1.204607144164080434e+00,1.434901364172378457e+00,-1.033054473589567035e+00
2.310000000000001774e-01,1.572733872493635096e-02,1.618409664615286514e-01,2.446149063314934924e-01,1.403041048454369832e+00,1.400141065667635631e+00,-1.069021331970631650e+00
2.640000000000001790e-01,2.542526618820309392e-02,2.114707552343970953e-01,3.432261499096324053e-01,1.598322435715636258e+00,1.364525974612351478e+00,-1.086184804191999032e+00
2.970000000000002083e-01,3.869186107548506365e-02,2.674810723605454688e-01,4.603408751455989600e-01,1.789741027904704351e+00,1.328604688334867001e+00,-1.088635804524695994e+00
3.300000000000002376e-01,5.613664341433993038e-02,3.297328935564728392e-01,5.958550109603107936e-01,1.976625414874197295e+00,1.292804511406901113e+00,-1.079684600303042696e+00
3.630000000000002669e-01,7.836187077857706407e-02,3.980659933449189336e-01,7.494486440318889331e-01,2.158362991454333191e+00,1.257454690055883839e+00,-1.062004769204272447e+00
3.960000000000002962e-01,1.059563401030744756e-01,4.723011206826373543e-01,9.206388260977474980e-01,2.334412720365365956e+00,1.222805357338334398e+00,-1.037750871255032070e+00
4.290000000000003255e-01,1.394907736293846123e-01,5.522424911784735713e-01,1.108823271324590465e+00,2.504311951105170575e+00,1.189042972500238049e+00,-1.008654620881663799e+00
4.620000000000003548e-01,1.795145099023122137e-01,6.376804215479671134e-01,1.313316185366947941e+00,2.667678570328929855e+00,1.156302895311557055e+00,-9.761034739104869074e-01
4.950000000000003841e-01,2.265532592371246878e-01,7.283939726946000448e-01,1.533377328329479372e+00,2.824209664418188215e+00,1.124679619468770708e+00,-9.412048322918468157e-01
5.280000000000003579e-01,2.811077174814002322e-01,8.241535041547453089e-01,1.768235300726990200e+00,2.973677714829195740e+00,1.094235093693647576e+00,-9.048384866881488131e-01
5.610000000000003872e-01,3.436528627837099337e-01,9.247230732671117837e-01,2.017105939593647257e+00,3.115925166266998669e+00,1.065005481058098447e+00,-8.676994403851766569e-01
5.940000000000004166e-01,4.146377876982203503e-01,1.029862637127995972e+00,2.279206614877401726e+00,3.250858032168504774e+00,1.037006643175633513e+00,-8.303328679912935772e-01
6.270000000000004459e-01,4.944859434277563137e-01,1.139330034583657669e+00,2.553767122641135590e+00,3.378439044447088868e+00,1.010238583635644227e+00,-7.931626433193086356e-01
